METHOD,AGENTNUM,ITERNUM,SOURCE,SCORE,TIME
auto,4,10,cleavland.csv,0.541254,3.850531
auto,5,10,cleavland.csv,0.778878,9.715885
auto,6,10,cleavland.csv,0.570957,4.552050
auto,7,10,cleavland.csv,0.541254,6.680033
auto,8,10,cleavland.csv,0.541254,3.077839
auto,9,10,cleavland.csv,0.541254,14.385379
auto,10,10,cleavland.csv,0.541254,8.741461
auto,11,10,cleavland.csv,0.541254,15.179273
auto,12,10,cleavland.csv,0.541254,13.314383
auto,13,10,cleavland.csv,0.541254,14.938106
auto,5,10,cleavland.csv,0.541254,5.853573
auto,5,20,cleavland.csv,0.541254,9.231273
auto,5,30,cleavland.csv,0.541254,10.610359
auto,5,40,cleavland.csv,0.541254,16.119161
auto,5,50,cleavland.csv,0.541254,13.089097
auto,5,60,cleavland.csv,0.541254,13.335503
auto,5,70,cleavland.csv,0.541254,31.934309
auto,5,80,cleavland.csv,0.541254,4.362112
auto,5,90,cleavland.csv,0.541254,30.843163
auto,5,100,cleavland.csv,0.541254,27.439995
auto,5,10,cleavland-9.csv,0.555556,0.408630
auto,5,10,cleavland-100.csv,0.250000,0.469269
auto,5,10,cleavland-600.csv,0.246667,6.004398
auto,5,10,cleavland-1000.csv,0.217000,15.411146
dynamic,4,10,cleavland.csv,0.541254,2.076392
dynamic,5,10,cleavland.csv,0.541254,2.252115
dynamic,6,10,cleavland.csv,0.541254,3.357704
dynamic,7,10,cleavland.csv,0.541254,2.476660
dynamic,8,10,cleavland.csv,0.541254,3.800436
dynamic,9,10,cleavland.csv,0.541254,2.687232
dynamic,10,10,cleavland.csv,0.541254,3.316098
dynamic,11,10,cleavland.csv,0.541254,3.523550
dynamic,12,10,cleavland.csv,0.541254,2.897823
dynamic,13,10,cleavland.csv,0.541254,3.545389
dynamic,5,10,cleavland.csv,0.541254,2.560562
dynamic,5,20,cleavland.csv,0.541254,3.369679
dynamic,5,30,cleavland.csv,0.541254,2.859929
dynamic,5,40,cleavland.csv,0.541254,5.995402
dynamic,5,50,cleavland.csv,0.541254,17.193636
dynamic,5,60,cleavland.csv,0.541254,8.220095
dynamic,5,70,cleavland.csv,0.541254,7.712007
dynamic,5,80,cleavland.csv,0.541254,17.574987
dynamic,5,90,cleavland.csv,0.541254,6.068277
dynamic,5,100,cleavland.csv,0.541254,29.208859
dynamic,5,10,cleavland-9.csv,0.555556,0.008276
dynamic,5,10,cleavland-100.csv,0.250000,0.128210
dynamic,5,10,cleavland-600.csv,0.246667,3.719730
dynamic,5,10,cleavland-1000.csv,0.225000,12.798257
guided,4,10,cleavland.csv,0.541254,2.901804
guided,5,10,cleavland.csv,0.541254,5.987404
guided,6,10,cleavland.csv,0.574257,4.963222
guided,7,10,cleavland.csv,0.541254,5.244500
guided,8,10,cleavland.csv,0.547855,3.991775
guided,9,10,cleavland.csv,0.541254,9.577671
guided,10,10,cleavland.csv,0.541254,5.823873
guided,11,10,cleavland.csv,0.541254,11.575951
guided,12,10,cleavland.csv,0.547855,8.450439
guided,13,10,cleavland.csv,0.547855,11.376025
guided,5,10,cleavland.csv,0.541254,5.735049
guided,5,20,cleavland.csv,0.541254,11.005126
guided,5,30,cleavland.csv,0.541254,10.955911
guided,5,40,cleavland.csv,0.541254,16.444645
guided,5,50,cleavland.csv,0.541254,18.171331
guided,5,60,cleavland.csv,0.541254,34.749027
guided,5,70,cleavland.csv,0.541254,22.223326
guided,5,80,cleavland.csv,0.541254,20.598035
guided,5,90,cleavland.csv,0.541254,22.621999
guided,5,100,cleavland.csv,0.541254,43.989964
guided,5,10,cleavland-9.csv,0.555556,0.014044
guided,5,10,cleavland-100.csv,0.250000,0.177065
guided,5,10,cleavland-600.csv,0.280000,7.278999
guided,5,10,cleavland-1000.csv,0.256000,16.207434
static,4,10,cleavland.csv,0.541254,5.955331
static,5,10,cleavland.csv,0.541254,7.405596
static,6,10,cleavland.csv,0.541254,5.272305
static,7,10,cleavland.csv,0.580858,6.534887
static,8,10,cleavland.csv,0.580858,10.475019
static,9,10,cleavland.csv,0.541254,7.879377
static,10,10,cleavland.csv,0.633663,10.239280
static,11,10,cleavland.csv,0.541254,8.009279
static,12,10,cleavland.csv,0.541254,7.398561
static,13,10,cleavland.csv,0.541254,8.324106
static,5,10,cleavland.csv,0.541254,8.320356
static,5,20,cleavland.csv,0.541254,16.203487
static,5,30,cleavland.csv,0.541254,13.445390
static,5,40,cleavland.csv,0.541254,26.073375
static,5,50,cleavland.csv,0.541254,18.117982
static,5,60,cleavland.csv,0.541254,16.244235
static,5,70,cleavland.csv,0.541254,8.940529
static,5,80,cleavland.csv,0.541254,27.531994
static,5,90,cleavland.csv,0.541254,32.231503
static,5,100,cleavland.csv,0.541254,36.780869 
static,5,10,cleavland-9.csv,0.555556,0.003166
static,5,10,cleavland-100.csv,0.250000,0.203991
static,5,10,cleavland-600.csv,0.246667,6.272707
static,5,10,cleavland-1000.csv,0.217000,16.670756
