METHOD,SVMITER,SCORE,TIME
Sequential,100,0.541254,65.856794
MPI,100,0.541254,16.629532
OpenMP,100,0.541254,52.031560
Sequential,100,0.541254,30.005349
MPI,100,0.541254,10.352722
OpenMP,100,0.541254,37.330934
Sequential,100,0.541254,53.409529
MPI,100,0.541254,27.071332
OpenMP,100,0.541254,30.213463
Sequential,100,0.541254,19.795964
MPI,100,0.541254,16.410322
OpenMP,100,0.541254,70.970617
Sequential,100,0.541254,45.311731
MPI,100,0.541254,26.557472
OpenMP,100,0.541254,19.867020
Sequential,500,0.541254,73.891491
MPI,500,0.541254,11.268950
OpenMP,500,0.541254,40.477648
Sequential,500,0.541254,26.364221
MPI,500,0.541254,26.029505
OpenMP,500,0.541254,10.989005
Sequential,500,0.541254,43.088769
MPI,500,0.541254,13.468108
OpenMP,500,0.541254,26.557646
Sequential,500,0.541254,41.211394
MPI,500,0.541254,11.458982
OpenMP,500,0.541254,9.407147
Sequential,500,0.541254,35.110329
MPI,500,0.541254,29.861819
OpenMP,500,0.541254,50.522975
Sequential,1000,0.541254,37.712376
MPI,1000,0.541254,18.106613
OpenMP,1000,0.541254,30.952542
Sequential,1000,0.541254,40.712903
MPI,1000,0.541254,17.385163
OpenMP,1000,0.541254,61.690911
Sequential,1000,0.541254,62.917259
MPI,1000,0.541254,11.881425
OpenMP,1000,0.541254,64.326382
Sequential,1000,0.541254,61.775272
MPI,1000,0.541254,13.903245
OpenMP,1000,0.541254,27.368271
Sequential,1000,0.541254,11.930181
MPI,1000,0.541254,14.388307
OpenMP,1000,0.541254,46.685357
Sequential,2000,0.541254,82.687287
MPI,2000,0.541254,38.233368
OpenMP,2000,0.541254,7.859153
Sequential,2000,0.541254,32.405192
MPI,2000,0.541254,16.066534
OpenMP,2000,0.541254,22.514463
Sequential,2000,0.541254,25.212724
MPI,2000,0.541254,15.805610
OpenMP,2000,0.541254,27.734878
Sequential,2000,0.541254,90.189229
MPI,2000,0.541254,15.202186
OpenMP,2000,0.541254,54.261833
Sequential,2000,0.541254,69.581460
MPI,2000,0.541254,17.050174
OpenMP,2000,0.541254,8.615787
Sequential,5000,0.541254,21.481462
MPI,5000,0.541254,33.902676
OpenMP,5000,0.541254,16.292182
Sequential,5000,0.541254,76.136442
MPI,5000,0.541254,4.796591
OpenMP,5000,0.541254,20.222518
Sequential,5000,0.541254,19.474780
MPI,5000,0.541254,24.057816
OpenMP,5000,0.541254,13.354858
Sequential,5000,0.541254,30.261342
MPI,5000,0.541254,17.914889
OpenMP,5000,0.541254,12.370115
Sequential,5000,0.541254,33.796948
MPI,5000,0.541254,21.834461
OpenMP,5000,0.541254,48.882348
